,Energy
Alberta_ENDUR_Repaired,-1.0
Auburn_ENDUR_Repaired,-2837.0
CMU_ENDUR_Repaired,4895.0
Cal Poly_ENDUR_Repaired,3338.0
Cincinnati_ENDUR_Repaired,-6616.0
Cornell_ENDUR_Repaired,7213.0
Georgia Tech_ENDUR_Repaired,-6665.0
Laval_ENDUR_Repaired,5897.0
MIT_ENDUR_Repaired,-3706.0
Maryland_ENDUR_Repaired,-241.0 
Michigan_ENDUR_Repaired,-513.0
Missouri S&T_ENDUR_Repaired,-2857.0
NUS_ENDUR_Repaired,5560.0
Northwestern_ENDUR_Repaired,-244.0
Oregon State_ENDUR_Repaired,-8043.0
Penn State_ENDUR_Repaired,-1200.0
Pittsburgh_ENDUR_Repaired,-6548.0
Polytechnique Montreal_ENDUR_Repaired,-9727.0
Purdue_ENDUR_Repaired,6432.0
RIT_ENDUR_Repaired,-5965.0
San Jose State_ENDUR_Repaired,17269.0
Toronto_ENDUR_Repaired,-8636.0
U Conn._ENDUR_Repaired,4873.0
U of Florida_ENDUR_Repaired,5681.0
UC Berkeley_ENDUR_Repaired,279.0
UC Santa Cruz_ENDUR_Repaired,-5540.0
Washington_ENDUR_Repaired,-6955.0
Waterloo_ENDUR_Repaired,-1647.0
