,Stints
Alberta_ENDUR_Repaired,1
Auburn_ENDUR_Repaired,2
CMU_ENDUR_Repaired,3
Cal Poly_ENDUR_Repaired,2
Cincinnati_ENDUR_Repaired,2
Cornell_ENDUR_Repaired,3
Georgia Tech_ENDUR_Repaired,2
Laval_ENDUR_Repaired,2
MIT_ENDUR_Repaired,2
Maryland_ENDUR_Repaired,1
Michigan_ENDUR_Repaired,1
Missouri S&T_ENDUR_Repaired,2
NUS_ENDUR_Repaired,2
Northwestern_ENDUR_Repaired,1
Oregon State_ENDUR_Repaired,2
Penn State_ENDUR_Repaired,1
Pittsburgh_ENDUR_Repaired,2
Polytechnique Montreal_ENDUR_Repaired,2
Purdue_ENDUR_Repaired,2
RIT_ENDUR_Repaired,2
San Jose State_ENDUR_Repaired,3
Toronto_ENDUR_Repaired,2
U Conn._ENDUR_Repaired,2
U of Florida_ENDUR_Repaired,2
UC Berkeley_ENDUR_Repaired,1
UC Santa Cruz_ENDUR_Repaired,2
Washington_ENDUR_Repaired,2
Waterloo_ENDUR_Repaired,1
